feature,importance
betting_spread,0.09393363
away_rolling_wins,0.0383791
away_sp_defense,0.02601042
away_rolling_win_pct,0.024711115
conference_game,0.023678068
home_sp_offense,0.023630714
home_rolling_points_scored,0.02272905
away_rolling_points_allowed,0.022478195
home_rolling_point_diff,0.021199908
home_offense_success_rate,0.017627286
home_offense_ppa,0.01683855
away_defense_ppa,0.01628302
away_rolling_point_diff,0.016210208
away_defense_rushing_plays_ppa,0.014841327
away_defense_standard_downs_ppa,0.014670363
home_offense_passing_plays_success_rate,0.0128073245
betting_over_under,0.012791372
home_offense_passing_downs_success_rate,0.012326686
away_rolling_games_played,0.012035383
away_defense_passing_downs_success_rate,0.011877489
home_offense_passing_plays_ppa,0.011782223
away_defense_success_rate,0.011524551
home_fpi_rating,0.010419857
away_srs_rating,0.009998613
away_elo_rating,0.009614783
away_fpi_rating,0.009267709
away_defense_second_level_yards,0.009098609
home_srs_rating,0.009039548
home_recruiting_rank,0.008831563
away_recruiting_points,0.008662595
away_recruiting_rank,0.008321928
away_srs_ranking,0.008058949
away_rolling_points_scored,0.007936754
home_offense_standard_downs_success_rate,0.007886756
home_rolling_wins,0.007882638
home_recruiting_points,0.00750118
home_srs_ranking,0.0074495184
away_sp_rating,0.007300147
home_elo_rating,0.0070309853
home_offense_standard_downs_ppa,0.0070033823
home_rolling_games_played,0.006947842
home_offense_rushing_plays_ppa,0.0068737916
away_defense_passing_downs_ppa,0.0067877746
home_sp_rating,0.0067419102
home_sp_defense,0.006724528
away_defense_open_field_yards,0.00663505
neutral_site,0.006630773
home_defense_rushing_plays_ppa,0.00657484
home_offense_rushing_plays_success_rate,0.006403521
home_rolling_total_points,0.0063804807
betting_home_moneyline,0.0063066073
away_sp_ranking,0.0062674
away_rolling_total_points,0.0061308527
away_defense_standard_downs_success_rate,0.0061111036
home_offense_passing_downs_ppa,0.0061008115
home_sp_ranking,0.0060699936
away_defense_passing_plays_ppa,0.006068665
away_defense_stuff_rate,0.0060534086
home_offense_explosiveness,0.0060080555
home_defense_stuff_rate,0.0059845806
away_offense_rushing_plays_success_rate,0.0059768963
home_defense_power_success,0.0059229434
week,0.0058990936
away_offense_line_yards,0.005890537
home_sp_special_teams,0.0057982486
away_defense_explosiveness,0.005743808
away_defense_passing_plays_success_rate,0.0057389494
away_offense_passing_downs_success_rate,0.0057203253
home_rolling_win_pct,0.0056369165
season,0.0055961986
home_defense_rushing_plays_success_rate,0.005544551
away_offense_explosiveness,0.005486115
home_defense_standard_downs_ppa,0.005474263
home_defense_passing_plays_ppa,0.0054219165
away_defense_line_yards,0.005353199
home_defense_passing_downs_success_rate,0.005341588
away_sp_offense,0.0053301537
home_rolling_points_allowed,0.005249969
away_defense_power_success,0.0052219275
home_defense_standard_downs_success_rate,0.005203613
home_defense_second_level_yards,0.0051459554
home_defense_explosiveness,0.005122028
away_offense_second_level_yards,0.0050631077
away_offense_open_field_yards,0.005045021
home_offense_second_level_yards,0.004992014
home_defense_line_yards,0.0049581965
away_offense_success_rate,0.0049537756
home_defense_passing_downs_ppa,0.0049271556
betting_away_moneyline,0.00489373
home_defense_ppa,0.0048814598
away_offense_rushing_plays_ppa,0.0048281807
away_offense_passing_plays_success_rate,0.0048123603
away_offense_power_success,0.0047257785
home_defense_passing_plays_success_rate,0.004716411
home_offense_power_success,0.0047007916
away_offense_passing_plays_ppa,0.004691455
home_defense_open_field_yards,0.0046849847
home_defense_success_rate,0.004617742
home_offense_line_yards,0.0045902375
home_offense_open_field_yards,0.0045457925
away_offense_standard_downs_success_rate,0.0045235893
away_defense_rushing_plays_success_rate,0.0044866796
away_offense_ppa,0.0044637197
home_offense_stuff_rate,0.0043964
away_offense_stuff_rate,0.004374298
away_offense_passing_downs_ppa,0.0040821903
away_offense_standard_downs_ppa,0.0039710333
away_sp_special_teams,0.0037812854
home_offense_open_field_yards_avg,0.0
home_offense_second_level_yards_avg,0.0
home_offense_line_yards_avg,0.0
home_defense_second_level_yards_avg,0.0
away_offense_line_yards_avg,0.0
home_fpi_ranking,0.0
home_passing_ppa,0.0
home_rushing_ppa,0.0
home_defense_open_field_yards_avg,0.0
home_overall_ppa,0.0
home_defense_line_yards_avg,0.0
away_offense_second_level_yards_avg,0.0
away_defense_second_level_yards_avg,0.0
away_defense_line_yards_avg,0.0
away_defense_open_field_yards_avg,0.0
away_offense_open_field_yards_avg,0.0
away_rushing_ppa,0.0
away_passing_ppa,0.0
away_overall_ppa,0.0
away_fpi_ranking,0.0
